sector,lat,lon
WR1,52.195647181395316,-2.222052253488373
WN8,53.55324634175826,-2.769504063736257
WN7,53.498046518021845,-2.5183849899413238
WN6,53.57533211050329,-2.671716784463896
WN5,53.531874605800155,-2.6874228764769006
WN4,53.493676312709056,-2.644380324414719
WN3,53.52880515539574,-2.6459512589928065
WN2,53.535879970423586,-2.5822167466027146
WN1,53.553382451339914,-2.6280793511988754
WF9,53.60634796631203,-1.3214412792553203
WF90,53.67443466666666,-1.4908919999999999
WF8,53.68630809645667,-1.3004103464566914
WF7,53.66639749562171,-1.3527947092819625
WF6,53.70030560034903,-1.4156636369982545
WF5,53.68046982051279,-1.576428794871795
WF4,53.6466269952418,-1.519214356066616
WF3,53.7238911924778,-1.5251736283185853
WF2,53.672352772209614,-1.5123008056188316
WF17,53.71888495916509,-1.6426171905626143
WF16,53.71020309944753,-1.6692768397790059
WF15,53.70828031102358,-1.7004012145669287
WF14,53.679805098615915,-1.6960672145328726
WF13,53.69233379811572,-1.646788965006731
WF12,53.683294037267025,-1.619910335403729
WF11,53.71168093548387,-1.2562320208728648
WF10,53.72399437450195,-1.3477624191235054
WF1,53.68744760451975,-1.493417054075864
WD7,51.68721779214787,-0.3097397020785221
WD99,51.648776,-0.42208700000000005
WD6,51.657395312101904,-0.27562687625113663
WD5,51.701949853932604,-0.4165371161048694
WD4,51.70565707336957,-0.45630839130434864
WD3,51.684451010164146,-0.48214429163408906
WD25,51.68709672525851,-0.3877751418020676
WD24,51.673578264540325,-0.3981533939962476
WD23,51.64531427483874,-0.3580262670967745
WD19,51.63088442307683,-0.39065765384615425
WD18,51.649066337643596,-0.4147667629310342
WD17,51.6639390472028,-0.4056599912587414
WC2N,51.509070590604026,-0.12489583892617445
WC2R,51.511688972727256,-0.11832083636363638
WC2H,51.51339564183377,-0.12730155873925508
WC2E,51.51187888439305,-0.1233738670520231
WC2B,51.514929781914944,-0.12044
WC2A,51.51622305128207,-0.11421975213675213
WC1X,51.52669449529777,-0.11512084639498434
WC1R,51.51962835227271,-0.1158424090909091
WC1V,51.51809296969699,-0.11658840404040408
WC1N,51.52292552536233,-0.11973168478260876
WC1H,51.526856681671994,-0.12560841800643083
WC1E,51.521710834862404,-0.13284225688073392
WC1B,51.51942429585799,-0.12604705325443782
WC1A,51.52006536000005,-0.12051245333333348
WA9,53.436137467238666,-2.7192435312012466
WA8,53.37302964394903,-2.7416287656050904
WA88,53.36797315384615,-2.768674
WA7,53.33057916755313,-2.7035764202127606
WA6,53.27272929098362,-2.724667276639346
WA5,53.39914036919505,-2.638928643962846
WA55,53.391209200000006,-2.608859133333333
WA4,53.365382965205384,-2.575760945720255
WA3,53.45640632513299,-2.547812384973408
WA2,53.41080789956329,-2.58120566593886
WA16,53.302957029010244,-2.372283242320826
WA15,53.38455292358267,-2.325851779786358
WA14,53.38780567198575,-2.360762641843969
WA13,53.38231190388548,-2.4692401717791403
WA12,53.45335276461535,-2.6332535184615398
WA11,53.478079735351585,-2.7197662773437483
WA10,53.45428987764717,-2.7561287647058808
WA1,53.394260891534444,-2.5713942103174645
W9,51.52467620648459,-0.19267250000000005
W8,51.50117073593084,-0.19426848340548322
W7,51.51196538932807,-0.33591565217391295
W6,51.492647068528065,-0.22872294289340067
W5,51.51324810992231,-0.30239937937743233
W4,51.49121798298669,-0.2640374688090735
W3,51.510704246846906,-0.2678589054054059
W2,51.51514713701063,-0.18537302580071147
W1W,51.51921130842609,-0.14090094276629567
W1U,51.5187014735402,-0.15350756934306573
W1T,51.52026176652454,-0.13673895309168446
W1S,51.51122330388695,-0.14234608480565358
W1K,51.51111919748853,-0.15103933904109595
W1J,51.50790446599134,-0.14503266425470326
W1H,51.51768703586804,-0.16110437446198
W1G,51.51931626591231,-0.14826798727015558
W1F,51.513489933949764,-0.13647470541611625
W1D,51.51331146043171,-0.13276382589928065
W1B,51.51436147157192,-0.14096067892976588
W1C,51.51443481884057,-0.149131463768116
W1A,51.524377742331346,-0.1127846687116567
W14,51.49467197067897,-0.21021352777777774
W13,51.5130216046511,-0.32123062790697665
W12,51.50830441624988,-0.24034865749999956
W11,51.51226987602162,-0.21556092643051752
W10,51.523161657856065,-0.2170270337738621
UB9,51.586285861431854,-0.4926586143187061
UB8,51.53524051995292,-0.4737839037558673
UB7,51.504448988958984,-0.46918747318612003
UB6,51.53900759481743,-0.3406347173144872
UB5,51.5430792694175,-0.37652832160194244
UB4,51.525996228120434,-0.4084870272596844
UB3,51.50517253759006,-0.4244761524201857
UB2,51.49960107251913,-0.3790653206106868
UB18,51.50071811111106,-0.4026840000000004
UB10,51.549367909732005,-0.45202373201692597
UB11,51.51132847826087,-0.44693413043478264
UB1,51.515524964882985,-0.373403946488294
TW9,51.469481680851,-0.29268923731587554
TW8,51.48735798422091,-0.3061975147928994
TW7,51.47295791644908,-0.33590677154046994
TW6,51.470949464566935,-0.4483159763779528
TW5,51.48243543499998,-0.3862520900000001
TW4,51.46551019058826,-0.387958614117647
TW3,51.468156631578914,-0.3639175917843399
TW20,51.42749431450383,-0.5528463068702294
TW2,51.44633653357533,-0.3545266969147007
TW19,51.45430179069765,-0.49852250645994806
TW18,51.427690373819175,-0.5044400256410255
TW17,51.398213033980525,-0.44771932281553434
TW16,51.41579701838232,-0.4169402904411763
TW15,51.431148455772096,-0.4584844737631188
TW14,51.4534158903226,-0.42173465161290313
TW13,51.438985247496305,-0.40195956080114426
TW12,51.422840035149285,-0.3697282478031635
TW11,51.42630941366908,-0.3317646978417268
TW10,51.44778619493177,-0.3028888752436648
TW1,51.451093843251115,-0.32575438896952036
TS9,54.46601358703712,-1.1652907277777769
TS8,54.52167942894742,-1.2328317710526322
TS7,54.53396295294119,-1.1833291529411771
TS6,54.56559611111107,-1.1534722132435467
TS5,54.55030915603538,-1.2523696221786067
TS4,54.55589926800004,-1.222858184
